id;code;libelle;contact;est_affiche;com_id;actif
1;B2B Cross-group matrix;Accounts Small;Customer Oregon;62090;96472;77347
2;Fresh bypass feed;out-of-the-box;frictionless;63219;15695;50071
3;Home;navigating;HDD Hawaii;90810;96601;88349
4;Fish mobile Mandatory;Avon out-of-the-box empower;New feed;89233;76839;76961
5;Division Shirt SDD;Direct;Paradigm Lesotho;29478;28495;26558
6;Ergonomic program;Account;Florida card deposit;71867;21725;81172
7;transmitting Connecticut;Executive unleash;Generic azure;66033;86297;98191
8;bus Sleek;solid;Architect blue distributed;32388;13074;6576
9;Denar;Ergonomic;Hat Producer;26184;39540;88049
10;JBOD Assistant Card;Cove compressing;Divide International Tasty;79355;53789;75943
