id;code;libelle;seq;date_seq;contrat;seq_port;seq_port_ar;seq_port_cri;seq_port_cr;libelle_as
1;Frozen purple;Andorra killer systematic;23749;Music silver;Dollar Response;12854;23177;68350;47866;Handcrafted card
2;Table;methodologies programming;36578;Dong Enhanced;tan black parse;28460;63428;23383;888;hour back-end Soft
3;Garden;Sleek Account blockchains;93860;primary;Customer Inlet;35512;3740;23602;25060;connect Guadeloupe Dynamic
4;Tuna Berkshire SMTP;Orchestrator Games matrix;60750;Fresh payment;Home Gorgeous;23402;97044;54348;69890;synergies Steel
5;Freeway;task-force Buckinghamshire;35952;panel;Refined Lek;95761;8685;27618;17565;Investor Avenue withdrawal
6;Texas;copy;77108;pricing bypassing;systems;30476;4190;75934;40317;mission-critical
7;Home Tools Legacy;Account Persevering Baby;92749;revolutionary;transmitting Drives;17868;32465;31559;34774;tan hacking
8;SQL;RAM Oregon Handcrafted;50568;Buckinghamshire Botswana enterprise;Managed French;67925;70258;62150;84099;XSS Accountability
9;virtual;Checking Granite;67895;Vision-oriented Isle;payment;23818;39494;6423;76503;cross-platform
10;Keyboard;fuchsia Account;56017;Maryland FTP;Zambia;48212;6310;84081;78149;Diverse Unbranded
