id;code;libelle;ordre;famille;libelle_famille;tarif_communication;ht_tarif_ala_minute;ttc_tarif_ala_minute;ht_tarif_aappel;ttc_tarif_aappel;date_debut_valide;date_fin_valide;date_maj;commentaires
1;relationships application;withdrawal Games Internal;36614;Shoes;Shoes SDD Metal;Account scalable Bike;55911;36390;42768;43748;2022-02-02T13:59:54;2022-02-03T06:34:54;2022-02-03T00:27:20;Implementation well-modulated parsing
2;alliance Wooden mindshare;Fish Chips;86663;Soft Metal;Reverse-engineered haptic;e-commerce;93577;8498;72103;2722;2022-02-03T02:08:31;2022-02-02T22:26:28;2022-02-03T08:19:14;Intelligent maximized
3;Investment mission-critical Salad;Ways Keyboard;99179;Books;hybrid;pixel Advanced;32003;23831;69732;24133;2022-02-02T21:30:16;2022-02-03T04:37:50;2022-02-03T06:46:27;calculating
4;Gloves Frozen infomediaries;payment;34604;Associate Regional;Refined generate streamline;generating;35030;13044;93887;3321;2022-02-03T05:17:35;2022-02-02T16:41:24;2022-02-02T12:58:16;Georgia
5;Jewelery Danish;complexity;27372;Configuration Granite;JSON Industrial Account;time-frame index;39858;64128;18385;43329;2022-02-02T17:10:37;2022-02-03T05:49:49;2022-02-02T15:52:48;Aruban
6;Ports;SDD;2016;Kids;Awesome;Guyana;98298;67194;18641;16782;2022-02-02T22:55:25;2022-02-02T17:31:53;2022-02-03T06:20:16;Operative Re-contextualized Tasty
7;methodologies;index Wooden;83716;Lead Latvian;Netherlands;Vanuatu;26115;85494;63391;38152;2022-02-03T01:08:10;2022-02-03T03:20:50;2022-02-03T02:26:58;deposit
8;pink;Automotive experiences generate;98413;Gorgeous Licensed Enhanced;Trafficway B2C protocol;Cambridgeshire Bedfordshire Dominica;43071;36614;47238;99544;2022-02-02T12:09:16;2022-02-02T17:12:32;2022-02-02T19:28:34;monitor Gibraltar 24
9;Research Oregon HDD;invoice 1080p;76771;pixel York Bacon;Manager Checking Mobility;Assimilated Lead;28507;42851;22405;96606;2022-02-02T18:28:45;2022-02-02T18:26:55;2022-02-03T03:32:39;transmitting override
10;Trinidad Shoes;Sharable capacitor Human;71603;array Ergonomic standardization;digital;Prairie array;91804;13458;91530;15479;2022-02-02T16:52:41;2022-02-03T10:19:07;2022-02-02T15:08:24;wireless
